sample	entrez	no_ALL_muts	no_NSI_muts	no_NTDam_muts	no_TRUNC_muts	no_GOF_muts	Copy_number	CNVGain	CNVLoss
sim1	2329	0	0	0	0	0	5	1	0
sim1	2556	0	0	0	0	0	5	1	0
sim1	2559	1	1	0	0	0	2	0	0
sim1	2564	0	0	0	0	0	5	1	0
sim1	2645	0	0	0	0	0	5	1	0
sim1	2652	0	0	0	0	0	5	1	0
sim1	2710	1	1	1	0	0	2	0	0
sim1	2786	0	0	0	0	0	5	1	0
sim1	2830	0	0	0	0	0	6	1	0
sim1	2916	1	1	1	0	0	2	0	0
sim1	2990	0	0	0	0	0	7	1	0
sim1	3028	0	0	0	0	0	5	1	0
sim1	3110	0	0	0	0	0	6	1	0
sim1	3456	0	0	0	0	0	0	0	1
sim1	3561	0	0	0	0	0	5	1	0
sim1	3654	0	0	0	0	0	5	1	0
sim1	3730	0	0	0	0	0	7	1	0
sim1	3735	1	1	1	0	0	2	0	0
sim1	3748	1	1	1	0	0	2	0	0
sim1	3799	1	1	1	0	0	2	0	0
sim1	3930	0	0	0	0	0	6	1	0
sim1	4035	1	1	1	0	0	2	0	0
sim1	4040	1	1	1	0	0	2	0	0
sim1	4107	0	0	0	0	0	5	1	0
sim1	4112	0	0	0	0	0	5	1	0
sim1	4139	1	1	1	0	0	2	0	0
sim1	4311	1	1	1	1	0	2	0	0
sim1	4336	0	0	0	0	0	5	1	0
sim1	4515	0	0	0	0	0	5	1	0
sim1	4543	0	0	0	0	0	14	1	0
sim1	4617	1	1	1	0	1	2	0	0
sim1	4649	1	1	1	0	0	2	0	0
sim1	4674	0	0	0	0	0	5	1	0
sim1	4675	0	0	0	0	0	5	1	0
sim1	4688	0	0	0	0	0	5	1	0
sim1	4745	1	1	1	0	0	2	0	0
sim1	4842	1	1	1	0	0	2	0	0
sim1	5063	0	0	0	0	0	5	1	0
sim1	5137	0	0	0	0	0	7	1	0
sim1	5202	0	0	0	0	0	5	1	0
sim1	5321	0	0	0	0	0	5	1	0
sim1	5365	0	0	0	0	0	5	1	0
sim1	5456	2	2	1	0	0	2	0	0
sim1	5462	0	0	0	0	0	5	1	0
sim1	5545	1	1	0	0	1	2	0	0
sim1	5613	0	0	0	0	0	5	1	0
sim1	5629	0	0	0	0	0	4	0	0
sim1	5664	0	0	0	0	0	6	1	0
sim1	5707	1	1	1	1	0	2	0	0
sim1	5745	0	0	0	0	0	3	0	0
sim1	5789	1	1	1	0	0	2	0	0
sim1	5885	0	0	0	0	0	5	1	0
sim1	5912	0	0	0	0	0	5	1	0
sim1	5929	0	0	0	0	0	5	1	0
sim1	6000	0	0	0	0	0	4	0	0
sim1	6247	0	0	0	0	0	7	1	0
sim1	6262	0	0	0	0	0	6	1	0
sim1	6326	1	1	1	0	0	2	0	0
sim1	6334	1	1	1	0	0	2	0	0
sim1	6336	1	1	1	0	0	2	0	0
sim1	6403	0	0	0	0	0	5	1	0
sim1	6407	0	0	0	0	0	4	0	0
sim1	6416	1	1	0	0	0	2	0	0
sim1	6430	1	1	1	0	0	2	0	0
sim1	6480	0	0	0	0	0	5	1	0
sim1	6504	0	0	0	0	0	5	1	0
sim1	6513	1	1	1	0	0	2	0	0
sim1	6545	2	1	1	0	0	2	0	0
sim1	6643	0	0	0	0	0	5	1	0
sim1	6653	1	1	1	0	0	2	0	0
sim1	6697	0	0	0	0	0	5	1	0
sim1	6700	0	0	0	0	0	5	1	0
sim1	6780	0	0	0	0	0	7	1	0
sim1	6905	0	0	0	0	0	5	1	0
sim1	6906	0	0	0	0	0	5	1	0
sim1	7043	1	1	1	0	0	2	0	0
sim1	7143	1	1	1	0	0	2	0	0
sim1	7201	0	0	0	0	0	7	1	0
sim1	7224	0	0	0	0	0	7	1	0
sim1	7248	1	1	1	1	0	2	0	0
sim1	7291	0	0	0	0	0	9	1	0
sim1	7327	0	0	0	0	0	6	1	0
sim1	7424	1	1	1	0	0	2	0	0
sim1	7466	1	0	1	0	0	2	0	0
sim1	7547	0	0	0	0	0	7	1	0
sim1	7555	0	0	0	0	0	5	1	0
sim1	7564	0	0	0	0	0	6	1	0
sim1	7633	1	1	1	0	0	2	0	0
sim1	7707	0	0	0	0	0	5	1	0
sim1	7812	1	1	1	0	0	2	0	0
sim1	7827	0	0	0	0	0	5	1	0
sim1	8120	1	1	1	0	0	2	0	0
sim1	8228	0	0	0	0	0	5	1	0
sim1	8263	0	0	0	0	0	5	1	0
sim1	8269	0	0	0	0	0	5	1	0
sim1	8320	1	1	1	0	0	2	0	0
sim1	8342	0	0	0	0	0	5	1	0
sim1	8395	1	1	1	0	0	2	0	0
sim1	8406	0	0	0	0	0	6	1	0
sim1	8411	3	1	1	0	0	2	0	0
sim1	8439	0	0	0	0	0	9	1	0
sim1	8454	1	1	1	0	0	2	0	0
sim1	8460	0	0	0	0	0	6	1	0
sim1	8493	0	0	0	0	0	40	1	0
sim1	8517	0	0	0	0	0	7	1	0
sim1	8544	0	0	0	0	0	5	1	0
sim1	8549	0	0	0	0	0	18	1	0
sim1	8559	1	1	1	0	0	2	0	0
sim1	8675	0	0	0	0	0	5	1	0
sim1	8682	0	0	0	0	0	5	1	0
sim1	8688	1	1	1	0	0	2	0	0
sim1	8694	0	0	0	0	0	5	1	0
sim1	8725	1	1	1	0	0	2	0	0
sim1	8767	0	0	0	0	0	8	1	0
sim1	8776	0	0	0	0	0	5	1	0
sim1	8840	0	0	0	0	0	5	1	0
sim1	8904	0	0	0	0	0	5	1	0
sim1	8989	0	0	0	0	0	7	1	0
sim1	8997	1	1	0	0	0	2	0	0
sim1	9070	0	0	0	0	0	9	1	0
sim1	9134	0	0	0	0	0	9	1	0
sim1	9138	1	1	1	1	0	2	0	0
sim1	9166	0	0	0	0	0	5	1	0
sim1	9223	1	1	1	0	0	2	0	0
sim1	9282	0	0	0	0	0	6	1	0
sim1	9353	2	1	1	0	0	2	0	0
sim1	9447	0	0	0	0	0	6	1	0
sim1	9496	0	0	0	0	0	5	1	0
sim1	9557	0	0	0	0	0	5	1	0
sim1	9632	1	1	1	0	0	2	0	0
sim1	9657	0	0	0	0	0	3	0	0
sim1	9693	1	1	0	0	0	2	0	0
sim1	9694	0	0	0	0	0	5	1	0
sim1	9746	1	1	1	0	0	2	0	0
sim1	9804	0	0	0	0	0	6	1	0
sim1	9817	0	0	0	0	0	1	0	1
sim1	9898	0	0	0	0	0	5	1	0
sim1	10000	0	0	0	0	0	6	1	0
sim1	10061	1	1	1	0	0	2	0	0
sim1	10107	0	0	0	0	0	5	1	0
sim1	10257	1	1	1	0	0	2	0	0
sim1	10349	1	1	0	0	0	2	0	0
sim1	10350	1	1	1	0	0	2	0	0
sim1	10368	1	1	1	0	0	2	0	0
sim1	10397	0	0	0	0	0	7	1	0
sim1	10404	0	0	0	0	0	5	1	0
sim1	10479	0	0	0	0	0	6	1	0
sim1	10566	0	0	0	0	0	6	1	0
sim1	10630	0	0	0	0	0	15	1	0
sim1	10644	0	0	0	0	0	11	1	0
sim1	10656	0	0	0	0	0	4	0	0
sim1	10712	0	0	0	0	0	5	1	0
sim1	10723	0	0	0	0	0	6	1	0
sim1	10761	0	0	0	0	0	5	1	0
sim1	10956	0	0	0	0	0	40	1	0
sim1	11078	2	1	0	0	0	2	0	0
sim1	11266	0	0	0	0	0	6	1	0
sim1	11279	0	0	0	0	0	5	1	0
sim1	11281	0	0	0	0	0	5	1	0
sim1	22929	0	0	0	0	0	5	1	0
sim1	22989	0	0	0	0	0	5	1	0
sim1	23011	0	0	0	0	0	18	1	0
sim1	23046	1	1	1	0	0	2	0	0
sim1	23096	0	0	0	0	0	5	1	0
sim1	23127	0	0	0	0	0	5	1	0
sim1	23133	0	0	0	0	0	5	1	0
sim1	23140	2	1	2	0	0	2	0	0
sim1	23185	1	1	1	0	0	2	0	0
sim1	23219	0	0	0	0	0	5	1	0
sim1	23362	1	1	1	0	0	2	0	0
sim1	23363	0	0	0	0	0	3	0	0
sim1	23379	0	0	0	0	0	12	1	0
sim1	23383	1	1	1	0	0	2	0	0
sim1	23431	1	1	1	0	0	2	0	0
sim1	23478	0	0	0	0	0	6	1	0
sim1	23589	0	0	0	0	0	5	1	0
sim1	23623	0	0	0	0	0	7	1	0
sim1	25778	0	0	0	0	0	5	1	0
sim1	25814	1	1	1	1	0	2	0	0
sim1	25852	0	0	0	0	0	5	1	0
sim1	25896	0	0	0	0	0	5	1	0
sim1	25897	0	0	0	0	0	6	1	0
sim1	25936	0	0	0	0	0	8	1	0
sim1	25938	1	1	1	0	0	2	0	0
sim1	26007	0	0	0	0	0	3	0	0
sim1	26157	0	0	0	0	0	5	1	0
sim1	26248	0	0	0	0	0	5	1	0
sim1	26750	0	0	0	0	0	5	1	0
sim1	26985	0	0	0	0	0	11	1	0
sim1	27094	0	0	0	0	0	6	1	0
sim1	27199	1	1	1	0	0	2	0	0
sim1	27230	0	0	0	0	0	7	1	0
sim1	27241	1	1	1	1	0	2	0	0
sim1	27286	0	0	0	0	0	5	1	0
sim1	27330	0	0	0	0	0	5	1	0
sim1	27336	0	0	0	0	0	5	1	0
sim1	27339	1	1	1	0	0	2	0	0
sim1	29057	0	0	0	0	0	5	1	0
sim1	29765	0	0	0	0	0	5	1	0
sim1	29937	0	0	0	0	0	5	1	0
sim1	30812	0	0	0	0	0	5	1	0
sim1	30813	0	0	0	0	0	5	1	0
sim1	50484	0	0	0	0	0	6	1	0
sim1	50613	1	1	1	0	0	2	0	0
sim1	50617	0	0	0	0	0	6	1	0
sim1	50807	0	0	0	0	0	6	1	0
sim1	50852	0	0	0	0	0	5	1	0
sim1	50940	1	1	1	1	0	2	0	0
sim1	50943	0	0	0	0	0	5	1	0
sim1	51001	0	0	0	0	0	5	1	0
sim1	51050	0	0	0	0	0	5	1	0
sim1	51127	0	0	0	0	0	5	1	0
sim1	51313	1	1	0	0	0	2	0	0
sim1	51438	0	0	0	0	0	5	1	0
sim1	51506	0	0	0	0	0	6	1	0
sim1	51585	1	1	0	0	0	2	0	0
sim1	51634	0	0	0	0	0	5	1	0
sim1	51699	0	0	0	0	0	5	1	0
sim1	53353	1	1	1	0	0	2	0	0
sim1	53632	1	1	1	0	0	2	0	0
sim1	54457	0	0	0	0	0	5	1	0
sim1	54464	0	0	0	0	0	7	1	0
sim1	54466	0	0	0	0	0	5	1	0
sim1	54482	1	1	1	0	0	2	0	0
sim1	54742	0	0	0	0	0	5	1	0
sim1	54865	0	0	0	0	0	6	1	0
sim1	54915	1	1	1	0	0	2	0	0
sim1	54960	0	0	0	0	0	5	1	0
sim1	55100	0	0	0	0	0	13	1	0
sim1	55130	1	1	1	0	1	2	0	0
sim1	55204	0	0	0	0	0	8	1	0
sim1	55250	0	0	0	0	0	7	1	0
sim1	55285	0	0	0	0	0	5	1	0
sim1	55356	0	0	0	0	0	5	1	0
sim1	55511	0	0	0	0	0	6	1	0
sim1	55558	1	1	0	0	0	5	1	0
sim1	55634	0	0	0	0	0	7	1	0
sim1	55691	1	1	1	0	0	2	0	0
sim1	55715	1	1	1	0	0	2	0	0
sim1	55773	0	0	0	0	0	6	1	0
sim1	55799	1	1	1	1	0	2	0	0
sim1	55811	0	0	0	0	0	5	1	0
sim1	55841	1	1	1	0	0	2	0	0
sim1	55869	0	0	0	0	0	5	1	0
sim1	55892	0	0	0	0	0	12	1	0
sim1	55972	0	0	0	0	0	6	1	0
sim1	56132	1	1	1	0	0	2	0	0
sim1	56157	0	0	0	0	0	5	1	0
sim1	56301	1	1	1	0	0	2	0	0
sim1	56339	1	1	1	0	0	2	0	0
sim1	56548	0	0	0	0	0	6	1	0
sim1	56776	1	1	1	0	0	2	0	0
sim1	56849	0	0	0	0	0	5	1	0
sim1	56850	0	0	0	0	0	5	1	0
sim1	56925	0	0	0	0	0	5	1	0
sim1	57216	0	0	0	0	0	5	1	0
sim1	57337	0	0	0	0	0	6	1	0
sim1	57529	0	0	0	0	0	6	1	0
sim1	57542	1	1	1	0	0	2	0	0
sim1	57575	1	1	1	0	0	2	0	0
sim1	57616	1	1	1	0	0	2	0	0
sim1	57713	1	1	0	1	0	2	0	0
sim1	57821	0	0	0	0	0	5	1	0
sim1	58191	0	0	0	0	0	7	1	0
sim1	59343	1	1	1	0	0	2	0	0
sim1	59353	0	0	0	0	0	5	1	0
sim1	60412	0	0	0	0	0	5	1	0
sim1	63951	0	0	0	0	0	0	0	1
sim1	63982	1	1	1	0	0	2	0	0
sim1	64599	0	0	0	0	0	5	1	0
sim1	64641	0	0	0	0	0	5	1	0
sim1	64682	0	0	0	0	0	5	1	0
sim1	64789	0	0	0	0	0	6	1	0
sim1	65263	0	0	0	0	0	6	1	0
sim1	65265	0	0	0	0	0	8	1	0
sim1	79006	0	0	0	0	0	5	1	0
sim1	79053	0	0	0	0	0	11	1	0
sim1	79135	0	0	0	0	0	5	1	0
sim1	79139	0	0	0	0	0	6	1	0
sim1	79156	0	0	0	0	0	9	1	0
sim1	79576	0	0	0	0	0	6	1	0
sim1	79603	0	0	0	0	0	1	0	1
sim1	79674	1	1	1	0	0	2	0	0
sim1	79815	0	0	0	0	0	6	1	0
sim1	79862	0	0	0	0	0	6	1	0
sim1	79868	0	0	0	0	0	6	1	0
sim1	80012	0	0	0	0	0	5	1	0
sim1	80024	1	1	1	0	0	2	0	0
sim1	80111	0	0	0	0	0	5	1	0
sim1	80157	1	1	0	0	0	2	0	0
sim1	80204	1	1	1	0	0	2	0	0
sim1	80235	0	0	0	0	0	5	1	0
sim1	80308	0	0	0	0	0	8	1	0
sim1	80309	1	1	1	0	0	2	0	0
sim1	80316	0	0	0	0	0	5	1	0
sim1	80896	0	0	0	0	0	5	1	0
sim1	81031	0	0	0	0	0	5	1	0
sim1	81448	0	0	0	0	0	5	1	0
sim1	81607	0	0	0	0	0	5	1	0
sim1	81610	0	0	0	0	0	6	1	0
sim1	81887	0	0	0	0	0	5	1	0
sim1	83737	0	0	0	0	0	3	0	0
sim1	83741	1	1	1	0	0	2	0	0
sim1	83844	0	0	0	0	0	5	1	0
sim1	84124	0	0	0	0	0	7	1	0
sim1	84232	0	0	0	0	0	6	1	0
sim1	84303	0	0	0	0	0	5	1	0
sim1	84450	0	0	0	0	0	4	0	0
sim1	84466	1	1	1	0	0	2	0	0
sim1	84636	0	0	0	0	0	5	1	0
sim1	84727	1	1	0	1	0	2	0	0
sim1	84919	1	1	1	1	0	2	0	0
sim1	84985	0	0	0	0	0	5	1	0
sim1	85012	0	0	0	0	0	5	1	0
sim1	85369	0	0	0	0	0	6	1	0
sim1	85409	0	0	0	0	0	5	1	0
sim1	90070	0	0	0	0	0	6	1	0
sim1	90167	0	0	0	0	0	7	1	0
sim1	90196	1	1	0	0	0	2	0	0
sim1	90441	0	0	0	0	0	9	1	0
sim1	91653	1	1	1	0	0	2	0	0
sim1	91807	1	1	1	0	0	2	0	0
sim1	92552	0	0	0	0	0	5	1	0
sim1	93035	2	1	1	0	0	2	0	0
sim1	93664	0	0	0	0	0	5	1	0
sim1	113791	1	1	1	0	0	2	0	0
sim1	114788	2	2	1	0	0	2	0	0
sim1	114805	1	1	1	1	0	2	0	0
sim1	115286	1	1	1	0	0	2	0	0
sim1	116447	0	0	0	0	0	5	1	0
sim1	116461	0	0	0	0	0	5	1	0
sim1	117531	1	1	0	0	0	2	0	0
sim1	119749	1	1	0	0	1	2	0	0
sim1	121340	0	0	0	0	0	5	1	0
sim1	122042	0	0	0	0	0	5	1	0
sim1	126961	0	0	0	0	0	5	1	0
sim1	127124	0	0	0	0	0	5	1	0
sim1	127262	0	0	0	0	0	3	0	0
sim1	128153	0	0	0	0	0	6	1	0
sim1	128371	0	0	0	0	0	5	1	0
sim1	129831	1	1	1	0	0	2	0	0
sim1	131566	0	0	0	0	0	5	1	0
sim1	131870	0	0	0	0	0	7	1	0
sim1	136263	0	0	0	0	0	8	1	0
sim1	137868	0	0	0	0	0	6	1	0
sim1	138009	0	0	0	0	0	5	1	0
sim1	139065	0	0	0	0	0	7	1	0
sim1	139081	0	0	0	0	0	3	0	0
sim1	139378	0	0	0	0	0	6	1	0
sim1	139425	0	0	0	0	0	5	1	0
sim1	139804	0	0	0	0	0	5	1	0
sim1	140679	0	0	0	0	0	3	0	0
sim1	140873	0	0	0	0	0	5	1	0
sim1	142684	0	0	0	0	0	5	1	0
sim1	148156	0	0	0	0	0	5	1	0
sim1	149281	0	0	0	0	0	5	1	0
sim1	154091	0	0	0	0	0	5	1	0
sim1	154215	0	0	0	0	0	6	1	0
sim1	155368	0	0	0	0	0	5	1	0
sim1	157378	0	0	0	0	0	5	1	0
sim1	157657	0	0	0	0	0	6	1	0
sim1	157769	0	0	0	0	0	6	1	0
sim1	158798	0	0	0	0	0	6	1	0
sim1	158835	0	0	0	0	0	8	1	0
sim1	158866	0	0	0	0	0	5	1	0
sim1	163087	0	0	0	0	0	5	1	0
sim1	166012	0	0	0	0	0	5	1	0
sim1	169026	0	0	0	0	0	6	1	0
sim1	169981	0	0	0	0	0	5	1	0
sim1	170692	1	1	1	0	0	2	0	0
sim1	171482	0	0	0	0	0	5	1	0
sim1	171484	0	0	0	0	0	5	1	0
sim1	192666	0	0	0	0	0	5	1	0
sim1	196394	0	0	0	0	0	5	1	0
sim1	196446	0	0	0	0	0	8	1	0
sim1	196528	1	1	0	1	0	2	0	0
sim1	200150	1	1	1	0	0	5	1	0
sim1	200909	0	0	0	0	0	6	1	0
sim1	203062	0	0	0	0	0	6	1	0
sim1	219287	0	0	0	0	0	1	0	1
sim1	219557	0	0	0	0	0	6	1	0
sim1	221421	0	0	0	0	0	14	1	0
sim1	221830	0	0	0	0	0	5	1	0
sim1	254827	1	1	1	0	0	2	0	0
sim1	257019	0	0	0	0	0	6	1	0
sim1	257397	0	0	0	0	0	5	1	0
sim1	267002	0	0	0	0	0	6	1	0
sim1	283417	0	0	0	0	0	6	1	0
sim1	285282	0	0	0	0	0	5	1	0
sim1	286075	0	0	0	0	0	5	1	0
sim1	286077	0	0	0	0	0	5	1	0
sim1	286430	0	0	0	0	0	5	1	0
sim1	286527	0	0	0	0	0	5	1	0
sim1	286827	0	0	0	0	0	7	1	0
sim1	337876	1	1	1	0	0	2	0	0
sim1	339105	1	1	1	1	0	2	0	0
sim1	340273	1	1	1	0	0	2	0	0
sim1	340385	0	0	0	0	0	8	1	0
sim1	340562	0	0	0	0	0	6	1	0
sim1	340595	0	0	0	0	0	5	1	0
sim1	340602	0	0	0	0	0	6	1	0
sim1	341359	1	1	0	0	0	2	0	0
sim1	343563	0	0	0	0	0	6	1	0
sim1	344558	2	1	1	1	0	2	0	0
sim1	347411	0	0	0	0	0	5	1	0
sim1	347454	0	0	0	0	0	5	1	0
sim1	353132	0	0	0	0	0	5	1	0
sim1	353141	0	0	0	0	0	5	1	0
sim1	353144	0	0	0	0	0	6	1	0
sim1	374659	0	0	0	0	0	0	0	1
sim1	374860	1	1	1	1	0	2	0	0
sim1	375033	0	0	0	0	0	6	1	0
sim1	375056	1	1	1	0	0	2	0	0
sim1	375298	0	0	0	0	0	5	1	0
sim1	376132	0	0	0	0	0	24	1	0
sim1	378884	0	0	0	0	0	5	1	0
sim1	388730	0	0	0	0	0	6	1	0
sim1	389692	0	0	0	0	0	5	1	0
sim1	389898	0	0	0	0	0	5	1	0
sim1	391191	0	0	0	0	0	5	1	0
sim1	391194	0	0	0	0	0	5	1	0
sim1	392465	0	0	0	0	0	5	1	0
sim1	401613	0	0	0	0	0	5	1	0
sim1	403239	0	0	0	0	0	6	1	0
sim1	414919	0	0	0	0	0	9	1	0
sim1	441509	0	0	0	0	0	5	1	0
sim1	541578	0	0	0	0	0	5	1	0
sim1	548596	0	0	0	0	0	5	1	0
sim1	641339	0	0	0	0	0	5	1	0
sim1	728378	1	1	0	0	0	2	0	0
sim1	728458	0	0	0	0	0	8	1	0
sim1	729201	0	0	0	0	0	5	1	0
sim1	729396	0	0	0	0	0	7	1	0
sim1	730159	0	0	0	0	0	5	1	0
sim1	767558	0	0	0	0	0	5	1	0
sim1	100130361	0	0	0	0	0	8	1	0
sim1	100132963	0	0	0	0	0	8	1	0
sim1	100288520	0	0	0	0	0	0	0	1
sim1	100303755	0	0	0	0	0	6	1	0
sim1	100381270	0	0	0	0	0	5	1	0
sim1	100526773	0	0	0	0	0	6	1	0
sim1	100996648	0	0	0	0	0	5	1	0
sim1	102723547	0	0	0	0	0	6	1	0
sim10	213	0	0	0	0	0	13	1	0
sim10	239	0	0	0	0	0	16	1	0
sim10	347	0	0	0	0	0	15	1	0
sim10	387	1	1	1	0	1	2	0	0
sim10	393	0	0	0	0	0	10	1	0
sim10	443	0	0	0	0	0	11	1	0
sim10	463	0	0	0	0	0	4	0	0
sim10	545	0	0	0	0	0	8	1	0
sim10	546	1	1	0	1	0	2	0	0
sim10	760	0	0	0	0	0	13	1	0
sim10	775	0	0	0	0	0	4	0	0
sim10	777	1	1	0	0	0	2	0	0
sim10	1008	0	0	0	0	0	11	1	0
sim10	1020	0	0	0	0	0	8	1	0
sim10	1029	1	1	0	1	0	2	0	0
sim10	1174	0	0	0	0	0	13	1	0
sim10	1314	0	0	0	0	0	4	0	0
sim10	1318	0	0	0	0	0	8	1	0
sim10	1352	0	0	0	0	0	10	1	0
sim10	1359	0	0	0	0	0	14	1	0
sim10	1360	0	0	0	0	0	10	1	0
sim10	1585	0	0	0	0	0	9	1	0
sim10	1807	0	0	0	0	0	8	1	0
sim10	1936	0	0	0	0	0	10	1	0
sim10	1999	0	0	0	0	0	9	1	0
sim10	2010	0	0	0	0	0	12	1	0
sim10	2037	0	0	0	0	0	4	0	0
sim10	2119	0	0	0	0	0	10	1	0
sim10	2194	0	0	0	0	0	4	0	0
sim10	2335	0	0	0	0	0	4	0	0
sim10	2646	0	0	0	0	0	8	1	0
sim10	2814	0	0	0	0	0	9	1	0
sim10	2822	0	0	0	0	0	9	1	0
sim10	2843	0	0	0	0	0	8	1	0
sim10	3037	0	0	0	0	0	9	1	0
sim10	3174	0	0	0	0	0	10	1	0
sim10	3219	0	0	0	0	0	9	1	0
sim10	3284	0	0	0	0	0	9	1	0
sim10	3306	0	0	0	0	0	4	0	0
sim10	3417	1	1	1	0	1	2	0	0
sim10	3441	0	0	0	0	0	4	0	0
sim10	3581	0	0	0	0	0	8	1	0
sim10	3620	0	0	0	0	0	22	1	0
sim10	3689	0	0	0	0	0	10	1	0
sim10	3838	0	0	0	0	0	19	1	0
sim10	3839	0	0	0	0	0	8	1	0
sim10	3846	0	0	0	0	0	8	1	0
sim10	3911	0	0	0	0	0	9	1	0
sim10	3977	0	0	0	0	0	5	0	0
sim10	4204	0	0	0	0	0	46	1	0
sim10	4296	0	0	0	0	0	10	1	0
sim10	4318	0	0	0	0	0	8	1	0
sim10	4327	0	0	0	0	0	4	0	0
sim10	4478	0	0	0	0	0	8	1	0
sim10	4619	1	1	1	0	0	2	0	0
sim10	4703	0	0	0	0	0	4	0	0
sim10	4817	0	0	0	0	0	10	1	0
sim10	4914	0	0	0	0	0	9	1	0
sim10	4952	0	0	0	0	0	10	1	0
sim10	5042	0	0	0	0	0	8	1	0
sim10	5168	0	0	0	0	0	9	1	0
sim10	5172	0	0	0	0	0	8	1	0
sim10	5189	0	0	0	0	0	4	0	0
sim10	5290	0	0	0	0	0	10	1	0
sim10	5412	0	0	0	0	0	8	1	0
sim10	5425	0	0	0	0	0	11	1	0
sim10	5612	0	0	0	0	0	11	1	0
sim10	5664	0	0	0	0	0	8	1	0
sim10	5794	0	0	0	0	0	16	1	0
sim10	5914	1	1	1	0	0	2	0	0
sim10	5965	0	0	0	0	0	4	0	0
sim10	5973	0	0	0	0	0	10	1	0
sim10	6197	0	0	0	0	0	8	1	0
sim10	6249	0	0	0	0	0	8	1	0
sim10	6480	0	0	0	0	0	8	1	0
sim10	6513	0	0	0	0	0	8	1	0
sim10	6699	0	0	0	0	0	9	1	0
sim10	6713	0	0	0	0	0	10	1	0
sim10	6734	0	0	0	0	0	4	0	0
sim10	6830	0	0	0	0	0	9	1	0
sim10	7030	0	0	0	0	0	8	1	0
sim10	7105	0	0	0	0	0	10	1	0
sim10	7157	1	1	1	0	0	4	0	0
sim10	7169	0	0	0	0	0	8	1	0
sim10	7227	0	0	0	0	0	9	1	0
sim10	7273	0	0	0	0	0	5	0	0
sim10	7373	0	0	0	0	0	11	1	0
sim10	7431	0	0	0	0	0	4	0	0
sim10	7434	0	0	0	0	0	11	1	0
sim10	7534	0	0	0	0	0	9	1	0
sim10	7781	0	0	0	0	0	8	1	0
sim10	7881	0	0	0	0	0	8	1	0
sim10	8288	0	0	0	0	0	9	1	0
sim10	8321	0	0	0	0	0	10	1	0
sim10	8445	0	0	0	0	0	15	1	0
sim10	8450	1	1	1	0	0	2	0	0
sim10	8464	0	0	0	0	0	10	1	0
sim10	8537	0	0	0	0	0	9	1	0
sim10	8560	0	0	0	0	0	9	1	0
sim10	8566	0	0	0	0	0	10	1	0
sim10	8581	0	0	0	0	0	8	1	0
sim10	8767	0	0	0	0	0	10	1	0
sim10	8817	0	0	0	0	0	6	0	0
sim10	8871	0	0	0	0	0	8	1	0
sim10	8974	0	0	0	0	0	9	1	0
sim10	9054	0	0	0	0	0	10	1	0
sim10	9144	0	0	0	0	0	9	1	0
sim10	9180	0	0	0	0	0	12	1	0
sim10	9213	0	0	0	0	0	8	1	0
sim10	9312	0	0	0	0	0	9	1	0
